Date,Description,Source_Name,Source_Bias,Source_Headline,Source_Link,Image_link
2018-03-08T15:34:58-08:00,The people who like the sort of tariffs that President Donald Trump just proposed on steel and aluminum generally aren't the same folks who like him.,OPINION: Trump’s risky call for protests,Left,https://www.allsides.com/news/2018-03-08-1534/who-likes-tariffs-generally-speaking-its-not-same-people-who-trump,http://money.cnn.com/2018/03/05/news/economy/trump-steel-aluminum-tariffs-support/index.html,https://i2.cdn.turner.com/money/dam/assets/180301131556-steel-tariffs-780x439.jpg
2020-05-28T07:02:58-07:00,"President Donald Trump is preparing to sign an executive order Thursday aimed at curbing liability protections for social media companies, two days after he lashed out at Twitter for applying fact checks to two of his tweets. Trump had threatened social media companies with new regulation or even shuttering on Wednesday, lashing out at the new policy he believed interfered",OPINION: Trump’s risky call for protests,Left,https://www.allsides.com/news/2020-05-28-0702/trump-preparing-order-targeting-social-media-protections,https://apnews.com/fc30f9ebdff9d3d33a870e7374f8ffa6,https://storage.googleapis.com/afs-prod/media/c9fb58f6d12f4c52b166953eacbe23e6/3000.jpeg
2019-12-12T06:52:09-08:00,"The Justice Department’s top watchdog on Wednesday reaffirmed that the FBI’s investigation into Russian influence on Donald Trump’s 2016 presidential campaign was adequately justified, despite Attorney General William Barr’s comments expressing doubts about that conclusion. “We stand by our finding,” Inspector General Michael Horowitz said during a Senate Judiciary Committee",OPINION: Donald Trump has committed a lot of shady acts. This is the wrong one to indict him on.,Lean Left,https://www.allsides.com/news/2019-12-12-0651/horowitz-pushes-back-barr-over-basis-trump-russia-probe,https://www.politico.com/news/2019/12/11/horowitz-barr-trump-russia-probe-082448,https://cf-images.us-east-1.prod.boltdns.net/v1/static/1155968404/60330221-10fd-4e56-8531-ac0f383b2ee7/bc1dd8e9-c56b-468f-baca-0acaf93a1bc7/1280x720/match/image.jpg
2018-07-12T12:49:56-07:00,"President Trump kept everyone guessing to the end about his Supreme Court selection Monday, but in nominating Brett Kavanaugh he also kept his promise to select a Justice 'who will faithfully interpret the Constitution as written.'",Trump Indictment Could Be a 2024 Cash Cow,Center,https://www.allsides.com/news/2018-07-12-1249/kavanaugh-court,https://www.wsj.com/articles/kavanaugh-for-the-court-1531190695,https://s.wsj.net/img/meta/wsj-social-share.png
2019-10-17T06:20:50-07:00,"As President Donald Trump continues to fill his Twitter feed and campaign speeches with attacks on Hunter Biden over his foreign business deals, the former vice president's son defended the ethical implications of his private ventures in an interview with ABC News, but conceded taking a misstep in failing to foresee the political implications on his father's career.",Police surround NY Courthouse and DC Capitol in case of Trump arrest,Center,https://www.allsides.com/news/2019-10-17-0620/exclusive-im-here-hunter-biden-hits-back-trump-taunt-exclusive-abc-news,https://abcnews.go.com/Politics/exclusive-hiding-plain-sight-hunter-biden-defends-foreign/story?id=66275416,https://s.abcnews.com/images/US/Biden-interview-5577c-abc-ps-191014_hpMain_16x9_992.jpg
2022-07-20T12:44:42-07:00,"When President Donald Trump felt the need to lash out at Twitter on Tuesday, he didn't turn to Facebook or YouTube. He turned to Twitter. The president has launched any number of insults, tirades and misleading statements from his Twitter account in recent years. But it was two tweets about voting by mail that spurred the company to take action, adding a fact check label to",ANALYSIS: A Cynical and Political Looming Prosecution,Right,https://www.allsides.com/news/2020-05-27-1918/trump-made-twitter-his-megaphone-fact-check-wont-change,https://nbcnews.com/tech/tech-news/trump-has-made-twitter-his-megaphone-fact-check-won-t-n1215421,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/newscms/2020_22/3365651/200527-donald-trump-al-0915.jpg"
2019-03-28T13:51:17-07:00,"Attorney General William Barr told Congress Sunday that special counsel Robert Mueller did not find collusion between the Trump campaign and the Russian government, destroying two years of media speculation and bad reporting. The obsession to prove collusion has dampened the media’s journalistic abilities, leading to a seemingly endless list of corrections, retractions and",OPINION: The sudden turn of events that could derail Trump's indictment,Right,https://www.allsides.com/news/2019-03-28-1351/media%E2%80%99s-russia-%E2%80%98bombshells%E2%80%99-look-even-worse-now-mueller-found-no-collusion,https://dailycaller.com/2019/03/25/media-russia-collusion-mueller-report-fake-news/,https://cdn01.dailycaller.com/wp-content/uploads/2018/03/Adam-Schiff-Gets-Cold-Feet-On-Russia-Loses-Confidence-In-Bob-Mueller-CNN-New-Day-3-15-18-e1521120461275.png
2019-09-11T14:45:53-07:00,"GAME ON: Angered by the Taliban’s deadly attacks on civilians and United States troops, President Trump declared negotiations over an American withdrawal from Afghanistan “dead” and promised to make the Taliban regret its “mistake.” “You can't do that with me. So they're dead, as far as I'm concerned. And we've hit the Taliban harder in the last four days than they've been hit",OPINION: Trump’s risky call for protests,Left,https://www.allsides.com/news/2019-09-11-1445/game-after-trump-declares-peace-talks-dead-us-commander-takes-aim-taliban,https://www.washingtonexaminer.com/policy/defense-national-security/game-on-after-trump-declares-peace-talks-dead-us-commander-takes-aim-at-taliban,0
2022-05-12T01:54:56-07:00,"Donald Trump and his attorney general seem headed for a confrontation, just as the president is declaring himself the nation’s “chief law enforcement officer” and handing out controversial pardons. As the Washington Post reported, and others have confirmed, William Barr “has told people close to President Trump — both inside and outside the White House — that he is considering",OPINION: Trump’s risky call for protests,Left,https://www.allsides.com/news/2020-02-20-0954/furor-over-trump-pardons-frustrated-barr-weighs-quitting,https://www.foxnews.com/media/furor-over-trump-pardons-as-frustrated-barr-weighs-quitting,https://cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/d8cbb60e-86f2-4cd0-8b99-c285acde7112/5325f8ad-f65f-4d21-83d7-cdb57bab99f9/1280x720/match/image.jpg
2020-01-30T08:26:07-08:00,"As President Trump's legal team pressed the case for acquittal on Monday, they repeatedly made two points: the charges against Trump do not meet the constitution's criteria for impeachment. And if the president is removed from office for abuse of power and obstruction of Congress, it will set a &quot;dangerous&quot; precedent. &quot;You cannot turn conduct that is not impeachable into",OPINION: Donald Trump has committed a lot of shady acts. This is the wrong one to indict him on.,Lean Left,https://www.allsides.com/news/2020-01-30-0826/trump-defense-nothing-bolton-revelations-rises-level-impeachment,https://www.npr.org/2020/01/27/799370370/what-to-watch-for-as-trumps-legal-team-resumes-its-impeachment-defense,https://media.npr.org/assets/img/2020/01/26/ap_20025760012119_wide-b5ced85788ba40680d3db5be888a60156454483f-s1400-c100.jpg
